"NACCAGE","EDUC","SEX","RACE","sdpred","sd","EDUCCATsomecollege","EDUCCAThigherthancollege","SEX:NACCAGE","EDUCCATsomecollege:NACCAGE","EDUCCAThigherthancollege:NACCAGE","mean.adj","sd.adj"
40,10,0,0,0.144261158303264,0.148219388229573,0,0,0,0,0,5.43929669874432,0.144261158303264
41,10,0,0,0.144859837558091,0.168616516306335,0,0,0,0,0,5.43928833243403,0.144859837558091
42,10,0,0,0.145458996129077,0.163553743899242,0,0,0,0,0,5.43927994230042,0.145458996129077
43,10,0,0,0.146059004631642,0.172545068527219,0,0,0,0,0,5.43927151434682,0.146059004631642
44,10,0,0,0.146660233681203,0.213213382397795,0,0,0,0,0,5.43926303457655,0.146660233681203
45,10,0,0,0.147263053893182,0.20042014216336,0,0,0,0,0,5.43925448899295,0.147263053893182
46,10,0,0,0.147867835882996,0.205057349846699,0,0,0,0,0,5.43924586359935,0.147867835882996
47,10,0,0,0.148474950266065,0.198207568622344,0,0,0,0,0,5.43923714439908,0.148474950266065
48,10,0,0,0.149084768297183,0.190369614927714,0,0,0,0,0,5.43922831736038,0.149084768297183
49,10,0,0,0.149697986033211,0.186240708785901,0,0,0,0,0,5.43921935062494,0.149697986033211
50,10,0,0,0.150316151816756,0.180761332655011,0,0,0,0,0,5.43921016555734,0.150316151816756
51,10,0,0,0.150940952095241,0.183407465645867,0,0,0,0,0,5.43920067594233,0.150940952095241
52,10,0,0,0.151574073316088,0.174350716956397,0,0,0,0,0,5.43919079556469,0.151574073316088
53,10,0,0,0.15221720192672,0.176770355829505,0,0,0,0,0,5.43918043820919,0.15221720192672
54,10,0,0,0.15287202437456,0.171787787924071,0,0,0,0,0,5.4391695176606,0.15287202437456
55,10,0,0,0.15354022710703,0.159163799782069,0,0,0,0,0,5.4391579477037,0.15354022710703
56,10,0,0,0.154223507978531,0.158410329044849,0,0,0,0,0,5.43914563874834,0.154223507978531
57,10,0,0,0.154924558676274,0.159251658221247,0,0,0,0,0,5.43913220716487,0.154924558676274
58,10,0,0,0.15564782185834,0.156769082693607,0,0,0,0,0,5.43911675127416,0.15564782185834
59,10,0,0,0.156397918416813,0.156600228393018,0,0,0,0,0,5.43909831666399,0.156397918416813
