"NACCAGE","EDUC","SEX","RACE","sdpred","sd","EDUCCATsomecollege","EDUCCAThigherthancollege","SEX:NACCAGE","EDUCCATsomecollege:NACCAGE","EDUCCAThigherthancollege:NACCAGE","mean.adj","sd.adj"
40,10,0,0,0.164556033788663,0.172741944183464,0,0,0,0,0,5.14025838280639,0.164556033788663
41,10,0,0,0.166109775343494,0.168580115353519,0,0,0,0,0,5.13753936987524,0.166109775343494
42,10,0,0,0.167664338189428,0.16794303697417,0,0,0,0,0,5.13485336388825,0.167664338189428
43,10,0,0,0.169220378128054,0.172060553031171,0,0,0,0,0,5.13220744933563,0.169220378128054
44,10,0,0,0.170778550960959,0.191791440511282,0,0,0,0,0,5.12960871070763,0.170778550960959
45,10,0,0,0.17233951248973,0.188568381994535,0,0,0,0,0,5.12706423249445,0.17233951248973
46,10,0,0,0.173903918515954,0.192211318192893,0,0,0,0,0,5.12458109918631,0.173903918515954
47,10,0,0,0.175472424841219,0.202903131418003,0,0,0,0,0,5.12216639527345,0.175472424841219
48,10,0,0,0.177045688457441,0.200195390562728,0,0,0,0,0,5.11982718811844,0.177045688457441
49,10,0,0,0.178624971043666,0.200523463574028,0,0,0,0,0,5.11756184423945,0.178624971043666
50,10,0,0,0.180213120987498,0.195404344138941,0,0,0,0,0,5.11534589900191,0.180213120987498
51,10,0,0,0.181813243787601,0.184918405162918,0,0,0,0,0,5.1131511881996,0.181813243787601
52,10,0,0,0.18342844494264,0.187299059137026,0,0,0,0,0,5.11094954762633,0.18342844494264
53,10,0,0,0.185061829951281,0.195583116873529,0,0,0,0,0,5.10871281307589,0.185061829951281
54,10,0,0,0.186716504312189,0.195957040153664,0,0,0,0,0,5.10641282034205,0.186716504312189
55,10,0,0,0.18839557352403,0.188160077257838,0,0,0,0,0,5.10402140521863,0.18839557352403
56,10,0,0,0.1901021580266,0.19096918376812,0,0,0,0,0,5.10151047446907,0.1901021580266
57,10,0,0,0.191840680005886,0.194418202234851,0,0,0,0,0,5.09885811808875,0.191840680005886
58,10,0,0,0.193617855111743,0.19440816687992,0,0,0,0,0,5.09605331991634,0.193617855111743
59,10,0,0,0.195440632449226,0.196172234620827,0,0,0,0,0,5.09308617269152,0.195440632449226
60,10,0,0,0.197315961123389,0.195122019580545,0,0,0,0,0,5.08994676915396,0.197315961123389
61,10,0,0,0.199250790239287,0.198172193812577,0,0,0,0,0,5.08662520204335,0.199250790239287
62,10,0,0,0.201252068901975,0.20089763664494,0,0,0,0,0,5.08311156409934,0.201252068901975
63,10,0,0,0.203326746216506,0.203741158020858,0,0,0,0,0,5.07939594806162,0.203326746216506
64,10,0,0,0.205481810802706,0.204495350121633,0,0,0,0,0,5.07546758777581,0.205481810802706
65,10,0,0,0.207725556731302,0.205075422597661,0,0,0,0,0,5.07128734177322,0.207725556731302
66,10,0,0,0.210067851346257,0.208353729519627,0,0,0,0,0,5.0667818718779,0.210067851346257
67,10,0,0,0.21251865565617,0.209822375428167,0,0,0,0,0,5.06187580401688,0.21251865565617
68,10,0,0,0.215087930669642,0.213565681552778,0,0,0,0,0,5.05649376411722,0.215087930669642
69,10,0,0,0.217785637395273,0.214793979896036,0,0,0,0,0,5.05056037810594,0.217785637395273
70,10,0,0,0.220621736841662,0.218967314721845,0,0,0,0,0,5.0440002719101,0.220621736841662
71,10,0,0,0.223606190017411,0.223056789885023,0,0,0,0,0,5.03673807145674,0.223606190017411
72,10,0,0,0.226748512608376,0.226369456081114,0,0,0,0,0,5.02870528834718,0.226748512608376
73,10,0,0,0.230050740269948,0.227367587988865,0,0,0,0,0,5.01994909199276,0.230050740269948
74,10,0,0,0.233508701971778,0.229559809149161,0,0,0,0,0,5.01061262088999,0.233508701971778
75,10,0,0,0.237118038812981,0.233228873073951,0,0,0,0,0,5.00084191842922,0.237118038812981
76,10,0,0,0.240874391892676,0.239902590118406,0,0,0,0,0,4.99078302800079,0.240874391892676
77,10,0,0,0.244773402309977,0.245261783425815,0,0,0,0,0,4.98058199299504,0.244773402309977
78,10,0,0,0.248810711164004,0.251029132877238,0,0,0,0,0,4.97038485680231,0.248810711164004
79,10,0,0,0.252981959553871,0.254971107263863,0,0,0,0,0,4.96033766281296,0.252981959553871
80,10,0,0,0.257282172746937,0.260863633449374,0,0,0,0,0,4.95057088011941,0.257282172746937
81,10,0,0,0.261700326079359,0.260311748206373,0,0,0,0,0,4.94106197591144,0.261700326079359
82,10,0,0,0.266221961009405,0.263691393741941,0,0,0,0,0,4.93170157509371,0.266221961009405
83,10,0,0,0.270832579582113,0.269115412126044,0,0,0,0,0,4.9223793058158,0.270832579582113
84,10,0,0,0.275517683842517,0.280598828905048,0,0,0,0,0,4.91298479622729,0.275517683842517
85,10,0,0,0.280262775835656,0.28886250936123,0,0,0,0,0,4.90340767447777,0.280262775835656
86,10,0,0,0.285053357606563,0.292197191342973,0,0,0,0,0,4.89353756871681,0.285053357606563
87,10,0,0,0.289874931200277,0.294071229726984,0,0,0,0,0,4.883264107094,0.289874931200277
88,10,0,0,0.294714322139572,0.296972146724734,0,0,0,0,0,4.8723594843473,0.294714322139572
89,10,0,0,0.299566523520499,0.297160269631235,0,0,0,0,0,4.85987117883641,0.299566523520499
90,10,0,0,0.304429641062682,0.300700951442481,0,0,0,0,0,4.84457048293444,0.304429641062682
91,10,0,0,0.309301786612956,0.303210577327178,0,0,0,0,0,4.82522814534129,0.309301786612956
92,10,0,0,0.314181072018156,0.317299298271515,0,0,0,0,0,4.80061491475688,0.314181072018156
93,10,0,0,0.319065609125117,0.329695874121128,0,0,0,0,0,4.76950153988109,0.319065609125117
94,10,0,0,0.323953509780674,0.332876226795835,0,0,0,0,0,4.73065876941383,0.323953509780674
95,10,0,0,0.328842885831664,0.31262274728956,0,0,0,0,0,4.68285735205501,0.328842885831664
40,11,0,0,0.164556033788663,0.172741944183464,0,0,0,0,0,5.16623229002286,0.164556033788663
41,11,0,0,0.166109775343494,0.168580115353519,0,0,0,0,0,5.1635132770917,0.166109775343494
42,11,0,0,0.167664338189428,0.16794303697417,0,0,0,0,0,5.16082727110471,0.167664338189428
43,11,0,0,0.169220378128054,0.172060553031171,0,0,0,0,0,5.1581813565521,0.169220378128054
44,11,0,0,0.170778550960959,0.191791440511282,0,0,0,0,0,5.15558261792409,0.170778550960959
45,11,0,0,0.17233951248973,0.188568381994535,0,0,0,0,0,5.15303813971091,0.17233951248973
46,11,0,0,0.173903918515954,0.192211318192893,0,0,0,0,0,5.15055500640278,0.173903918515954
47,11,0,0,0.175472424841219,0.202903131418003,0,0,0,0,0,5.14814030248992,0.175472424841219
48,11,0,0,0.177045688457441,0.200195390562728,0,0,0,0,0,5.14580109533491,0.177045688457441
49,11,0,0,0.178624971043666,0.200523463574028,0,0,0,0,0,5.14353575145592,0.178624971043666
50,11,0,0,0.180213120987498,0.195404344138941,0,0,0,0,0,5.14131980621837,0.180213120987498
51,11,0,0,0.181813243787601,0.184918405162918,0,0,0,0,0,5.13912509541607,0.181813243787601
52,11,0,0,0.18342844494264,0.187299059137026,0,0,0,0,0,5.1369234548428,0.18342844494264
53,11,0,0,0.185061829951281,0.195583116873529,0,0,0,0,0,5.13468672029235,0.185061829951281
54,11,0,0,0.186716504312189,0.195957040153664,0,0,0,0,0,5.13238672755852,0.186716504312189
55,11,0,0,0.18839557352403,0.188160077257838,0,0,0,0,0,5.1299953124351,0.18839557352403
56,11,0,0,0.1901021580266,0.19096918376812,0,0,0,0,0,5.12748438168554,0.1901021580266
57,11,0,0,0.191840680005886,0.194418202234851,0,0,0,0,0,5.12483202530521,0.191840680005886
58,11,0,0,0.193617855111743,0.19440816687992,0,0,0,0,0,5.1220272271328,0.193617855111743
59,11,0,0,0.195440632449226,0.196172234620827,0,0,0,0,0,5.11906007990799,0.195440632449226
60,11,0,0,0.197315961123389,0.195122019580545,0,0,0,0,0,5.11592067637043,0.197315961123389
61,11,0,0,0.199250790239287,0.198172193812577,0,0,0,0,0,5.11259910925981,0.199250790239287
62,11,0,0,0.201252068901975,0.20089763664494,0,0,0,0,0,5.10908547131581,0.201252068901975
63,11,0,0,0.203326746216506,0.203741158020858,0,0,0,0,0,5.10536985527808,0.203326746216506
64,11,0,0,0.205481810802706,0.204495350121633,0,0,0,0,0,5.10144149499227,0.205481810802706
65,11,0,0,0.207725556731302,0.205075422597661,0,0,0,0,0,5.09726124898969,0.207725556731302
66,11,0,0,0.210067851346257,0.208353729519627,0,0,0,0,0,5.09275577909437,0.210067851346257
67,11,0,0,0.21251865565617,0.209822375428167,0,0,0,0,0,5.08784971123335,0.21251865565617
68,11,0,0,0.215087930669642,0.213565681552778,0,0,0,0,0,5.08246767133368,0.215087930669642
69,11,0,0,0.217785637395273,0.214793979896036,0,0,0,0,0,5.07653428532241,0.217785637395273
70,11,0,0,0.220621736841662,0.218967314721845,0,0,0,0,0,5.06997417912657,0.220621736841662
71,11,0,0,0.223606190017411,0.223056789885023,0,0,0,0,0,5.06271197867321,0.223606190017411
72,11,0,0,0.226748512608376,0.226369456081114,0,0,0,0,0,5.05467919556364,0.226748512608376
73,11,0,0,0.230050740269948,0.227367587988865,0,0,0,0,0,5.04592299920923,0.230050740269948
74,11,0,0,0.233508701971778,0.229559809149161,0,0,0,0,0,5.03658652810646,0.233508701971778
75,11,0,0,0.237118038812981,0.233228873073951,0,0,0,0,0,5.02681582564569,0.237118038812981
76,11,0,0,0.240874391892676,0.239902590118406,0,0,0,0,0,5.01675693521726,0.240874391892676
77,11,0,0,0.244773402309977,0.245261783425815,0,0,0,0,0,5.00655590021151,0.244773402309977
78,11,0,0,0.248810711164004,0.251029132877238,0,0,0,0,0,4.99635876401878,0.248810711164004
79,11,0,0,0.252981959553871,0.254971107263863,0,0,0,0,0,4.98631157002943,0.252981959553871
80,11,0,0,0.257282172746937,0.260863633449374,0,0,0,0,0,4.97654478733587,0.257282172746937
81,11,0,0,0.261700326079359,0.260311748206373,0,0,0,0,0,4.96703588312791,0.261700326079359
82,11,0,0,0.266221961009405,0.263691393741941,0,0,0,0,0,4.95767548231018,0.266221961009405
83,11,0,0,0.270832579582113,0.269115412126044,0,0,0,0,0,4.94835321303227,0.270832579582113
84,11,0,0,0.275517683842517,0.280598828905048,0,0,0,0,0,4.93895870344376,0.275517683842517
85,11,0,0,0.280262775835656,0.28886250936123,0,0,0,0,0,4.92938158169424,0.280262775835656
86,11,0,0,0.285053357606563,0.292197191342973,0,0,0,0,0,4.91951147593328,0.285053357606563
87,11,0,0,0.289874931200277,0.294071229726984,0,0,0,0,0,4.90923801431047,0.289874931200277
88,11,0,0,0.294714322139572,0.296972146724734,0,0,0,0,0,4.89833339156377,0.294714322139572
89,11,0,0,0.299566523520499,0.297160269631235,0,0,0,0,0,4.88584508605288,0.299566523520499
90,11,0,0,0.304429641062682,0.300700951442481,0,0,0,0,0,4.87054439015091,0.304429641062682
91,11,0,0,0.309301786612956,0.303210577327178,0,0,0,0,0,4.85120205255776,0.309301786612956
92,11,0,0,0.314181072018156,0.317299298271515,0,0,0,0,0,4.82658882197334,0.314181072018156
93,11,0,0,0.319065609125117,0.329695874121128,0,0,0,0,0,4.79547544709755,0.319065609125117
94,11,0,0,0.323953509780674,0.332876226795835,0,0,0,0,0,4.7566326766303,0.323953509780674
95,11,0,0,0.328842885831664,0.31262274728956,0,0,0,0,0,4.70883125927147,0.328842885831664
40,12,0,0,0.164556033788663,0.172741944183464,0,0,0,0,0,5.19220619723932,0.164556033788663
41,12,0,0,0.166109775343494,0.168580115353519,0,0,0,0,0,5.18948718430817,0.166109775343494
42,12,0,0,0.167664338189428,0.16794303697417,0,0,0,0,0,5.18680117832118,0.167664338189428
43,12,0,0,0.169220378128054,0.172060553031171,0,0,0,0,0,5.18415526376857,0.169220378128054
44,12,0,0,0.170778550960959,0.191791440511282,0,0,0,0,0,5.18155652514056,0.170778550960959
45,12,0,0,0.17233951248973,0.188568381994535,0,0,0,0,0,5.17901204692738,0.17233951248973
46,12,0,0,0.173903918515954,0.192211318192893,0,0,0,0,0,5.17652891361925,0.173903918515954
47,12,0,0,0.175472424841219,0.202903131418003,0,0,0,0,0,5.17411420970639,0.175472424841219
48,12,0,0,0.177045688457441,0.200195390562728,0,0,0,0,0,5.17177500255138,0.177045688457441
49,12,0,0,0.178624971043666,0.200523463574028,0,0,0,0,0,5.16950965867238,0.178624971043666
50,12,0,0,0.180213120987498,0.195404344138941,0,0,0,0,0,5.16729371343484,0.180213120987498
51,12,0,0,0.181813243787601,0.184918405162918,0,0,0,0,0,5.16509900263254,0.181813243787601
52,12,0,0,0.18342844494264,0.187299059137026,0,0,0,0,0,5.16289736205927,0.18342844494264
53,12,0,0,0.185061829951281,0.195583116873529,0,0,0,0,0,5.16066062750882,0.185061829951281
54,12,0,0,0.186716504312189,0.195957040153664,0,0,0,0,0,5.15836063477499,0.186716504312189
55,12,0,0,0.18839557352403,0.188160077257838,0,0,0,0,0,5.15596921965157,0.18839557352403
56,12,0,0,0.1901021580266,0.19096918376812,0,0,0,0,0,5.15345828890201,0.1901021580266
57,12,0,0,0.191840680005886,0.194418202234851,0,0,0,0,0,5.15080593252168,0.191840680005886
58,12,0,0,0.193617855111743,0.19440816687992,0,0,0,0,0,5.14800113434927,0.193617855111743
59,12,0,0,0.195440632449226,0.196172234620827,0,0,0,0,0,5.14503398712445,0.195440632449226
60,12,0,0,0.197315961123389,0.195122019580545,0,0,0,0,0,5.1418945835869,0.197315961123389
61,12,0,0,0.199250790239287,0.198172193812577,0,0,0,0,0,5.13857301647628,0.199250790239287
62,12,0,0,0.201252068901975,0.20089763664494,0,0,0,0,0,5.13505937853227,0.201252068901975
63,12,0,0,0.203326746216506,0.203741158020858,0,0,0,0,0,5.13134376249455,0.203326746216506
64,12,0,0,0.205481810802706,0.204495350121633,0,0,0,0,0,5.12741540220874,0.205481810802706
65,12,0,0,0.207725556731302,0.205075422597661,0,0,0,0,0,5.12323515620616,0.207725556731302
66,12,0,0,0.210067851346257,0.208353729519627,0,0,0,0,0,5.11872968631083,0.210067851346257
67,12,0,0,0.21251865565617,0.209822375428167,0,0,0,0,0,5.11382361844982,0.21251865565617
68,12,0,0,0.215087930669642,0.213565681552778,0,0,0,0,0,5.10844157855015,0.215087930669642
69,12,0,0,0.217785637395273,0.214793979896036,0,0,0,0,0,5.10250819253887,0.217785637395273
70,12,0,0,0.220621736841662,0.218967314721845,0,0,0,0,0,5.09594808634303,0.220621736841662
71,12,0,0,0.223606190017411,0.223056789885023,0,0,0,0,0,5.08868588588968,0.223606190017411
72,12,0,0,0.226748512608376,0.226369456081114,0,0,0,0,0,5.08065310278011,0.226748512608376
73,12,0,0,0.230050740269948,0.227367587988865,0,0,0,0,0,5.07189690642569,0.230050740269948
74,12,0,0,0.233508701971778,0.229559809149161,0,0,0,0,0,5.06256043532292,0.233508701971778
75,12,0,0,0.237118038812981,0.233228873073951,0,0,0,0,0,5.05278973286215,0.237118038812981
76,12,0,0,0.240874391892676,0.239902590118406,0,0,0,0,0,5.04273084243372,0.240874391892676
77,12,0,0,0.244773402309977,0.245261783425815,0,0,0,0,0,5.03252980742797,0.244773402309977
78,12,0,0,0.248810711164004,0.251029132877238,0,0,0,0,0,5.02233267123525,0.248810711164004
79,12,0,0,0.252981959553871,0.254971107263863,0,0,0,0,0,5.01228547724589,0.252981959553871
80,12,0,0,0.257282172746937,0.260863633449374,0,0,0,0,0,5.00251869455234,0.257282172746937
81,12,0,0,0.261700326079359,0.260311748206373,0,0,0,0,0,4.99300979034437,0.261700326079359
82,12,0,0,0.266221961009405,0.263691393741941,0,0,0,0,0,4.98364938952665,0.266221961009405
83,12,0,0,0.270832579582113,0.269115412126044,0,0,0,0,0,4.97432712024874,0.270832579582113
84,12,0,0,0.275517683842517,0.280598828905048,0,0,0,0,0,4.96493261066023,0.275517683842517
85,12,0,0,0.280262775835656,0.28886250936123,0,0,0,0,0,4.9553554889107,0.280262775835656
86,12,0,0,0.285053357606563,0.292197191342973,0,0,0,0,0,4.94548538314975,0.285053357606563
87,12,0,0,0.289874931200277,0.294071229726984,0,0,0,0,0,4.93521192152694,0.289874931200277
88,12,0,0,0.294714322139572,0.296972146724734,0,0,0,0,0,4.92430729878023,0.294714322139572
89,12,0,0,0.299566523520499,0.297160269631235,0,0,0,0,0,4.91181899326934,0.299566523520499
90,12,0,0,0.304429641062682,0.300700951442481,0,0,0,0,0,4.89651829736737,0.304429641062682
91,12,0,0,0.309301786612956,0.303210577327178,0,0,0,0,0,4.87717595977423,0.309301786612956
92,12,0,0,0.314181072018156,0.317299298271515,0,0,0,0,0,4.85256272918981,0.314181072018156
93,12,0,0,0.319065609125117,0.329695874121128,0,0,0,0,0,4.82144935431402,0.319065609125117
94,12,0,0,0.323953509780674,0.332876226795835,0,0,0,0,0,4.78260658384676,0.323953509780674
95,12,0,0,0.328842885831664,0.31262274728956,0,0,0,0,0,4.73480516648794,0.328842885831664
40,13,0,0,0.164556033788663,0.172741944183464,1,0,0,40,0,5.21818010445579,0.164556033788663
41,13,0,0,0.166109775343494,0.168580115353519,1,0,0,41,0,5.21546109152464,0.166109775343494
42,13,0,0,0.167664338189428,0.16794303697417,1,0,0,42,0,5.21277508553765,0.167664338189428
43,13,0,0,0.169220378128054,0.172060553031171,1,0,0,43,0,5.21012917098503,0.169220378128054
44,13,0,0,0.170778550960959,0.191791440511282,1,0,0,44,0,5.20753043235703,0.170778550960959
45,13,0,0,0.17233951248973,0.188568381994535,1,0,0,45,0,5.20498595414385,0.17233951248973
46,13,0,0,0.173903918515954,0.192211318192893,1,0,0,46,0,5.20250282083571,0.173903918515954
47,13,0,0,0.175472424841219,0.202903131418003,1,0,0,47,0,5.20008811692285,0.175472424841219
48,13,0,0,0.177045688457441,0.200195390562728,1,0,0,48,0,5.19774890976784,0.177045688457441
