NACCAGE,EDUC,SEX,mean.adj,sd.adj,Zscore
40,10,0,2.110416306,0.129801975,
41,10,0,2.112187152,0.129801975,0
42,10,0,2.113981421,0.129801975,0
43,10,0,2.115811963,0.129801975,0
44,10,0,2.117691626,0.129801975,0
45,10,0,2.119633257,0.129801975,-1.720233791
46,10,0,2.121649705,0.129801975,0
47,10,0,2.123753819,0.129801975,0
48,10,0,2.125958499,0.129801975,0
49,10,0,2.128302928,0.129801975,0
50,10,0,2.130895257,0.129801975,0
51,10,0,2.133854814,0.129801975,0
52,10,0,2.137300926,0.129801975,0
53,10,0,2.141352919,0.129801975,0
54,10,0,2.146130121,0.129801975,0
55,10,0,2.151751859,0.129801975,0
56,10,0,2.158336205,0.129801975,0
57,10,0,2.165891972,0.129801975,0
58,10,0,2.174235468,0.129801975,0
59,10,0,2.183163408,0.129801975,0
60,10,0,2.192472508,0.129801975,-1.159077063
61,10,0,2.201959483,0.129801975,0
62,10,0,2.211421046,0.129801975,0
63,10,0,2.220653914,0.129801975,0
64,10,0,2.229457531,0.129801975,0
65,10,0,2.237721516,0.129801975,0
66,10,0,2.245444166,0.129801975,0
67,10,0,2.252630248,0.129801975,0
68,10,0,2.259284526,0.129801975,0
69,10,0,2.265411768,0.129801975,0
70,10,0,2.27101674,0.129801975,0
71,10,0,2.276104207,0.129801975,0
72,10,0,2.280683032,0.129801975,0
73,10,0,2.284830872,0.129801975,0
74,10,0,2.288682468,0.129801975,0
75,10,0,2.292374288,0.129801975,-0.389429451
76,10,0,2.296042803,0.129801975,0
77,10,0,2.299824481,0.129801975,0
78,10,0,2.303855791,0.129801975,0
79,10,0,2.308273202,0.129801975,0
80,10,0,2.313201881,0.129801975,0
81,10,0,2.318655952,0.129801975,0
82,10,0,2.324586518,0.129801975,0
83,10,0,2.330943954,0.129801975,0
84,10,0,2.337678639,0.129801975,0
85,10,0,2.34474095,0.129801975,0
86,10,0,2.352081263,0.129801975,0
87,10,0,2.359649956,0.129801975,0
88,10,0,2.367405263,0.129801975,0
89,10,0,2.375353912,0.129801975,0
90,10,0,2.383521108,0.129801975,0
91,10,0,2.391932094,0.129801975,0
92,10,0,2.400612114,0.129801975,0
93,10,0,2.409586408,0.129801975,0
94,10,0,2.418880221,0.129801975,0
95,10,0,2.428518795,0.129801975,0
40,11,0,2.103666254,0.129801975,0
41,11,0,2.1054371,0.129801975,0
42,11,0,2.107231369,0.129801975,0
43,11,0,2.109061911,0.129801975,0
44,11,0,2.110941573,0.129801975,0
45,11,0,2.112883205,0.129801975,0
46,11,0,2.114899653,0.129801975,0
47,11,0,2.117003767,0.129801975,0
48,11,0,2.119208447,0.129801975,0
49,11,0,2.121552876,0.129801975,0
50,11,0,2.124145205,0.129801975,0
51,11,0,2.127104762,0.129801975,0
52,11,0,2.130550874,0.129801975,0
