NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,,
40,10,0,White,transformed,0,2.090720265,0.122524029,,
41,10,0,White,transformed,0,2.091133895,0.122524029,,
42,10,0,White,transformed,0,2.091572515,0.122524029,,
43,10,0,White,transformed,0,2.092051215,0.122524029,,
44,10,0,White,transformed,0,2.092585087,0.122524029,,
45,10,0,White,transformed,0,2.093189221,0.122524029,,-2.038243278
46,10,0,White,transformed,0,2.093878709,0.122524029,,
47,10,0,White,transformed,0,2.094668643,0.122524029,,
48,10,0,White,transformed,0,2.095574163,0.122524029,,
49,10,0,White,transformed,0,2.096636136,0.122524029,,
50,10,0,White,transformed,0,2.097962933,0.122524029,,
51,10,0,White,transformed,0,2.09967386,0.122524029,,
52,10,0,White,transformed,0,2.101888224,0.122524029,,
53,10,0,White,transformed,0,2.104725333,0.122524029,,
54,10,0,White,transformed,0,2.108304494,0.122524029,,
55,10,0,White,transformed,0,2.112745016,0.122524029,,
56,10,0,White,transformed,0,2.118165108,0.122524029,,
57,10,0,White,transformed,0,2.124587513,0.122524029,,
58,10,0,White,transformed,0,2.131866771,0.122524029,,
59,10,0,White,transformed,0,2.139840299,0.122524029,,
60,10,0,White,transformed,0,2.148345514,0.122524029,,-1.588076131
61,10,0,White,transformed,0,2.157219834,0.122524029,,
62,10,0,White,transformed,0,2.166300678,0.122524029,,
63,10,0,White,transformed,0,2.175425462,0.122524029,,
64,10,0,White,transformed,0,2.184432818,0.122524029,,
65,10,0,White,transformed,0,2.193201463,0.122524029,,
66,10,0,White,transformed,0,2.201658424,0.122524029,,
67,10,0,White,transformed,0,2.209733604,0.122524029,,
68,10,0,White,transformed,0,2.217356908,0.122524029,,
69,10,0,White,transformed,0,2.224458238,0.122524029,,
70,10,0,White,transformed,0,2.230967498,0.122524029,,
71,10,0,White,transformed,0,2.236814591,0.122524029,,
72,10,0,White,transformed,0,2.241938106,0.122524029,,
73,10,0,White,transformed,0,2.246422527,0.122524029,,
