NACCAGE,EDUC,SEX,mean.adj,sd.adj,Zscore
40,10,0,2.324889235,0.098847763,0
41,10,0,2.327957675,0.098851621,0
42,10,0,2.330789911,0.098855481,0
43,10,0,2.333395894,0.098859344,0
44,10,0,2.335785578,0.098863211,0
45,10,0,2.337968916,0.098867084,-1.333012757
46,10,0,2.339955859,0.098870964,0
47,10,0,2.341756361,0.098874852,0
48,10,0,2.343380443,0.09887875,0
49,10,0,2.34487312,0.098882662,0
50,10,0,2.346371225,0.098886597,0
51,10,0,2.348026473,0.098890568,0
52,10,0,2.349990577,0.098894586,0
53,10,0,2.352415251,0.098898664,0
54,10,0,2.355452207,0.098902813,0
55,10,0,2.359253161,0.098907045,0
56,10,0,2.363968453,0.098911371,0
57,10,0,2.369628933,0.098915828,0
58,10,0,2.376054925,0.098920492,0
59,10,0,2.383045323,0.098925445,0
60,10,0,2.39039902,0.098930768,-0.80218704
61,10,0,2.397914911,0.098936541,0
62,10,0,2.405391888,0.098942846,0
63,10,0,2.412628846,0.098949765,0
64,10,0,2.419427949,0.098957386,0
65,10,0,2.425699411,0.098966064,0
66,10,0,2.431483662,0.098976475,0
67,10,0,2.436828883,0.09898931,0
68,10,0,2.441783258,0.099005266,0
69,10,0,2.446394969,0.099025034,0
70,10,0,2.450712198,0.09904931,0
71,10,0,2.454783128,0.099078786,0
72,10,0,2.458655971,0.099114232,0
73,10,0,2.46237945,0.099157698,0
74,10,0,2.466002709,0.09921229,0
75,10,0,2.469574908,0.09928115,-0.001864323
76,10,0,2.473145204,0.099367419,0
77,10,0,2.476762755,0.099474236,0
78,10,0,2.48047672,0.099604743,0
79,10,0,2.484336256,0.09976208,0
80,10,0,2.488386598,0.099948747,0
81,10,0,2.492634428,0.100160934,0
82,10,0,2.497064545,0.100391257,0
83,10,0,2.501661498,0.100632287,0
84,10,0,2.506409838,0.100876597,0
85,10,0,2.511294112,0.101116759,0
86,10,0,2.51629887,0.101345345,0
87,10,0,2.521408661,0.101554928,0
88,10,0,2.526636829,0.101739203,0
89,10,0,2.532174416,0.101898797,0
90,10,0,2.538280187,0.102036975,0
91,10,0,2.545213037,0.102157012,0
92,10,0,2.553231864,0.102262178,0
93,10,0,2.562595564,0.102355748,0
94,10,0,2.573563035,0.102440992,0
95,10,0,2.586393172,0.102521183,0
40,11,0,2.315921197,0.098847763,0
41,11,0,2.318989637,0.098851621,0
42,11,0,2.321821873,0.098855481,0
43,11,0,2.324427856,0.098859344,0
44,11,0,2.32681754,0.098863211,0
45,11,0,2.329000877,0.098867084,0
46,11,0,2.330987821,0.098870964,0
47,11,0,2.332788323,0.098874852,0
48,11,0,2.334412405,0.09887875,0
49,11,0,2.335905081,0.098882662,0
50,11,0,2.337403187,0.098886597,0
51,11,0,2.339058435,0.098890568,0
52,11,0,2.341022539,0.098894586,0
53,11,0,2.343447212,0.098898664,0
54,11,0,2.346484169,0.098902813,0
55,11,0,2.350285122,0.098907045,0
56,11,0,2.355000415,0.098911371,0
57,11,0,2.360660895,0.098915828,0
58,11,0,2.367086887,0.098920492,0
59,11,0,2.374077285,0.098925445,0
60,11,0,2.381430982,0.098930768,0
61,11,0,2.388946872,0.098936541,0
62,11,0,2.39642385,0.098942846,0
63,11,0,2.403660808,0.098949765,0
64,11,0,2.410459911,0.098957386,0
65,11,0,2.416731373,0.098966064,0
66,11,0,2.422515623,0.098976475,0
67,11,0,2.427860845,0.09898931,0
68,11,0,2.43281522,0.099005266,0
69,11,0,2.437426931,0.099025034,0
70,11,0,2.44174416,0.09904931,0
71,11,0,2.44581509,0.099078786,0
72,11,0,2.449687933,0.099114232,0
73,11,0,2.453411411,0.099157698,0
74,11,0,2.457034671,0.09921229,0
75,11,0,2.46060687,0.09928115,0
76,11,0,2.464177165,0.099367419,0
77,11,0,2.467794717,0.099474236,0
78,11,0,2.471508682,0.099604743,0
79,11,0,2.475368218,0.09976208,0
80,11,0,2.47941856,0.099948747,0
81,11,0,2.483666389,0.100160934,0
82,11,0,2.488096506,0.100391257,0
83,11,0,2.49269346,0.100632287,0
84,11,0,2.497441799,0.100876597,0
85,11,0,2.502326074,0.101116759,0
86,11,0,2.507330832,0.101345345,0
87,11,0,2.512440623,0.101554928,0
88,11,0,2.517668791,0.101739203,0
89,11,0,2.523206378,0.101898797,0
90,11,0,2.529312148,0.102036975,0
91,11,0,2.536244999,0.102157012,0
92,11,0,2.544263826,0.102262178,0
93,11,0,2.553627526,0.102355748,0
94,11,0,2.564594997,0.102440992,0
95,11,0,2.577425134,0.102521183,0
40,12,0,2.306953159,0.098847763,0
41,12,0,2.310021599,0.098851621,0
42,12,0,2.312853834,0.098855481,0
43,12,0,2.315459818,0.098859344,0
44,12,0,2.317849502,0.098863211,0
45,12,0,2.320032839,0.098867084,0
46,12,0,2.322019782,0.098870964,0
47,12,0,2.323820284,0.098874852,0
48,12,0,2.325444367,0.09887875,0
49,12,0,2.326937043,0.098882662,0
50,12,0,2.328435148,0.098886597,0
51,12,0,2.330090396,0.098890568,0
52,12,0,2.3320545,0.098894586,0
53,12,0,2.334479174,0.098898664,0
54,12,0,2.337516131,0.098902813,0
55,12,0,2.341317084,0.098907045,0
56,12,0,2.346032376,0.098911371,0
57,12,0,2.351692857,0.098915828,0
58,12,0,2.358118849,0.098920492,0
59,12,0,2.365109246,0.098925445,0
60,12,0,2.372462944,0.098930768,0
61,12,0,2.379978834,0.098936541,0
62,12,0,2.387455811,0.098942846,0
63,12,0,2.394692769,0.098949765,0
64,12,0,2.401491873,0.098957386,0
65,12,0,2.407763335,0.098966064,0
66,12,0,2.413547585,0.098976475,0
67,12,0,2.418892807,0.09898931,0
68,12,0,2.423847182,0.099005266,0
69,12,0,2.428458893,0.099025034,0
70,12,0,2.432776122,0.09904931,0
71,12,0,2.436847051,0.099078786,0
72,12,0,2.440719894,0.099114232,0
73,12,0,2.444443373,0.099157698,0
74,12,0,2.448066632,0.09921229,0
75,12,0,2.451638831,0.09928115,0
76,12,0,2.455209127,0.099367419,0
77,12,0,2.458826679,0.099474236,0
78,12,0,2.462540643,0.099604743,0
79,12,0,2.46640018,0.09976208,0
80,12,0,2.470450522,0.099948747,0
81,12,0,2.474698351,0.100160934,0
82,12,0,2.479128468,0.100391257,0
83,12,0,2.483725422,0.100632287,0
84,12,0,2.488473761,0.100876597,0
85,12,0,2.493358035,0.101116759,0
86,12,0,2.498362793,0.101345345,0
87,12,0,2.503472585,0.101554928,0
88,12,0,2.508700752,0.101739203,0
89,12,0,2.51423834,0.101898797,0
90,12,0,2.52034411,0.102036975,0
91,12,0,2.52727696,0.102157012,0
92,12,0,2.535295787,0.102262178,0
93,12,0,2.544659488,0.102355748,0
94,12,0,2.555626958,0.102440992,0
95,12,0,2.568457096,0.102521183,0
40,13,0,2.29798512,0.098847763,0
41,13,0,2.30105356,0.098851621,0
42,13,0,2.303885796,0.098855481,0
43,13,0,2.306491779,0.098859344,0
44,13,0,2.308881463,0.098863211,0
45,13,0,2.311064801,0.098867084,0
46,13,0,2.313051744,0.098870964,0
47,13,0,2.314852246,0.098874852,0
48,13,0,2.316476328,0.09887875,0
49,13,0,2.317969005,0.098882662,0
50,13,0,2.31946711,0.098886597,0
51,13,0,2.321122358,0.098890568,0
52,13,0,2.323086462,0.098894586,0
53,13,0,2.325511136,0.098898664,0
54,13,0,2.328548092,0.098902813,0
55,13,0,2.332349046,0.098907045,0
56,13,0,2.337064338,0.098911371,0
57,13,0,2.342724818,0.098915828,0
58,13,0,2.34915081,0.098920492,0
59,13,0,2.356141208,0.098925445,0
60,13,0,2.363494905,0.098930768,0
61,13,0,2.371010796,0.098936541,0
62,13,0,2.378487773,0.098942846,0
63,13,0,2.385724731,0.098949765,0
64,13,0,2.392523834,0.098957386,0
65,13,0,2.398795296,0.098966064,0
66,13,0,2.404579547,0.098976475,0
67,13,0,2.409924768,0.09898931,0
68,13,0,2.414879144,0.099005266,0
69,13,0,2.419490854,0.099025034,0
70,13,0,2.423808083,0.09904931,0
71,13,0,2.427879013,0.099078786,0
72,13,0,2.431751856,0.099114232,0
73,13,0,2.435475335,0.099157698,0
74,13,0,2.439098594,0.09921229,0
75,13,0,2.442670793,0.09928115,0
76,13,0,2.446241089,0.099367419,0
77,13,0,2.44985864,0.099474236,0
78,13,0,2.453572605,0.099604743,0
79,13,0,2.457432141,0.09976208,0
80,13,0,2.461482483,0.099948747,0
81,13,0,2.465730313,0.100160934,0
82,13,0,2.47016043,0.100391257,0
83,13,0,2.474757383,0.100632287,0
84,13,0,2.479505723,0.100876597,0
85,13,0,2.484389997,0.101116759,0
86,13,0,2.489394755,0.101345345,0
87,13,0,2.494504546,0.101554928,0
88,13,0,2.499732714,0.101739203,0
89,13,0,2.505270301,0.101898797,0
90,13,0,2.511376072,0.102036975,0
91,13,0,2.518308922,0.102157012,0
92,13,0,2.526327749,0.102262178,0
93,13,0,2.535691449,0.102355748,0
94,13,0,2.54665892,0.102440992,0
95,13,0,2.559489057,0.102521183,0
40,14,0,2.289017082,0.098847763,0
41,14,0,2.292085522,0.098851621,0
42,14,0,2.294917758,0.098855481,0
43,14,0,2.297523741,0.098859344,0
44,14,0,2.299913425,0.098863211,0
45,14,0,2.302096762,0.098867084,0
46,14,0,2.304083706,0.098870964,0
47,14,0,2.305884208,0.098874852,0
48,14,0,2.30750829,0.09887875,0
