NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,,
40,10,0,White,transformed,0,2.303522376,0.09132112,,
41,10,0,White,transformed,0,2.304406234,0.091356017,,
42,10,0,White,transformed,0,2.305305617,0.091390969,,
43,10,0,White,transformed,0,2.306228425,0.091426012,,
44,10,0,White,transformed,0,2.307182557,0.091461181,,
45,10,0,White,transformed,0,2.308175913,0.091496511,,-1.766013638
46,10,0,White,transformed,0,2.309216393,0.091532038,,
47,10,0,White,transformed,0,2.310311898,0.091567797,,
48,10,0,White,transformed,0,2.311470365,0.091603823,,
49,10,0,White,transformed,0,2.312719767,0.091640183,,
50,10,0,White,transformed,0,2.314140636,0.091677026,,
51,10,0,White,transformed,0,2.315822023,0.091714514,,
52,10,0,White,transformed,0,2.317852979,0.09175281,,
53,10,0,White,transformed,0,2.320322554,0.091792076,,
54,10,0,White,transformed,0,2.3233198,0.091832475,,
55,10,0,White,transformed,0,2.326933767,0.09187417,,
56,10,0,White,transformed,0,2.331252652,0.091917324,,
57,10,0,White,transformed,0,2.336290268,0.091962291,,
58,10,0,White,transformed,0,2.341929372,0.092009752,,
59,10,0,White,transformed,0,2.348039382,0.092060423,,
60,10,0,White,transformed,0,2.354489717,0.092115019,,-1.251373374
61,10,0,White,transformed,0,2.361149795,0.092174258,,
62,10,0,White,transformed,0,2.367889034,0.092238855,,
63,10,0,White,transformed,0,2.374576852,0.092309525,,
64,10,0,White,transformed,0,2.381084506,0.092387012,,
65,10,0,White,transformed,0,2.387344015,0.092472974,,
66,10,0,White,transformed,0,2.393360624,0.092570171,,
67,10,0,White,transformed,0,2.399143937,0.092681428,,
68,10,0,White,transformed,0,2.404703561,0.092809569,,
69,10,0,White,transformed,0,2.410049098,0.092957421,,
70,10,0,White,transformed,0,2.415190155,0.093127809,,
71,10,0,White,transformed,0,2.420136336,0.093323558,,
72,10,0,White,transformed,0,2.424897979,0.0935474,,
73,10,0,White,transformed,0,2.429497725,0.093800515,,
74,10,0,White,transformed,0,2.433968427,0.09408279,,
75,10,0,White,transformed,0,2.438343246,0.094394077,,-0.33282548
76,10,0,White,transformed,0,2.442655343,0.094734225,,
77,10,0,White,transformed,0,2.446937879,0.095103085,,
78,10,0,White,transformed,0,2.451224016,0.095500505,,
79,10,0,White,transformed,0,2.455546914,0.095926336,,
80,10,0,White,transformed,0,2.459939455,0.096380041,,
81,10,0,White,transformed,0,2.464431762,0.096857279,,
82,10,0,White,transformed,0,2.469052395,0.097351548,,
83,10,0,White,transformed,0,2.473829894,0.097856323,,
84,10,0,White,transformed,0,2.478792801,0.098365078,,
85,10,0,White,transformed,0,2.483969657,0.098871288,,
86,10,0,White,transformed,0,2.489389005,0.099368427,,
87,10,0,White,transformed,0,2.495079383,0.099849971,,
88,10,0,White,transformed,0,2.501068621,0.100310344,,
89,10,0,White,transformed,0,2.507380136,0.100749851,,
90,10,0,White,transformed,0,2.514035668,0.101171034,,
91,10,0,White,transformed,0,2.521056951,0.10157644,,
92,10,0,White,transformed,0,2.528465721,0.101968616,,
93,10,0,White,transformed,0,2.536283714,0.102350109,,
94,10,0,White,transformed,0,2.544532664,0.102723466,,
95,10,0,White,transformed,0,2.553234308,0.103091233,,
40,11,0,White,transformed,0,2.296996303,0.09132112,,
41,11,0,White,transformed,0,2.297880161,0.091356017,,
42,11,0,White,transformed,0,2.298779544,0.091390969,,
43,11,0,White,transformed,0,2.299702351,0.091426012,,
44,11,0,White,transformed,0,2.300656483,0.091461181,,
45,11,0,White,transformed,0,2.30164984,0.091496511,,
46,11,0,White,transformed,0,2.30269032,0.091532038,,
47,11,0,White,transformed,0,2.303785824,0.091567797,,
48,11,0,White,transformed,0,2.304944292,0.091603823,,
49,11,0,White,transformed,0,2.306193693,0.091640183,,
50,11,0,White,transformed,0,2.307614562,0.091677026,,
51,11,0,White,transformed,0,2.309295949,0.091714514,,
52,11,0,White,transformed,0,2.311326905,0.09175281,,
53,11,0,White,transformed,0,2.313796481,0.091792076,,
54,11,0,White,transformed,0,2.316793727,0.091832475,,
55,11,0,White,transformed,0,2.320407694,0.09187417,,
56,11,0,White,transformed,0,2.324726579,0.091917324,,
57,11,0,White,transformed,0,2.329764194,0.091962291,,
58,11,0,White,transformed,0,2.335403298,0.092009752,,
59,11,0,White,transformed,0,2.341513309,0.092060423,,
60,11,0,White,transformed,0,2.347963644,0.092115019,,
61,11,0,White,transformed,0,2.354623722,0.092174258,,
62,11,0,White,transformed,0,2.361362961,0.092238855,,
63,11,0,White,transformed,0,2.368050779,0.092309525,,
64,11,0,White,transformed,0,2.374558433,0.092387012,,
65,11,0,White,transformed,0,2.380817941,0.092472974,,
66,11,0,White,transformed,0,2.38683455,0.092570171,,
67,11,0,White,transformed,0,2.392617864,0.092681428,,
68,11,0,White,transformed,0,2.398177487,0.092809569,,
69,11,0,White,transformed,0,2.403523025,0.092957421,,
70,11,0,White,transformed,0,2.408664082,0.093127809,,
71,11,0,White,transformed,0,2.413610263,0.093323558,,
72,11,0,White,transformed,0,2.418371906,0.0935474,,
73,11,0,White,transformed,0,2.422971652,0.093800515,,
74,11,0,White,transformed,0,2.427442354,0.09408279,,
75,11,0,White,transformed,0,2.431817173,0.094394077,,
76,11,0,White,transformed,0,2.436129269,0.094734225,,
77,11,0,White,transformed,0,2.440411806,0.095103085,,
78,11,0,White,transformed,0,2.444697942,0.095500505,,
79,11,0,White,transformed,0,2.449020841,0.095926336,,
80,11,0,White,transformed,0,2.453413382,0.096380041,,
81,11,0,White,transformed,0,2.457905689,0.096857279,,
82,11,0,White,transformed,0,2.462526321,0.097351548,,
83,11,0,White,transformed,0,2.46730382,0.097856323,,
84,11,0,White,transformed,0,2.472266728,0.098365078,,
85,11,0,White,transformed,0,2.477443584,0.098871288,,
86,11,0,White,transformed,0,2.482862931,0.099368427,,
87,11,0,White,transformed,0,2.48855331,0.099849971,,
88,11,0,White,transformed,0,2.494542548,0.100310344,,
89,11,0,White,transformed,0,2.500854063,0.100749851,,
90,11,0,White,transformed,0,2.507509594,0.101171034,,
91,11,0,White,transformed,0,2.514530877,0.10157644,,
92,11,0,White,transformed,0,2.521939647,0.101968616,,
93,11,0,White,transformed,0,2.52975764,0.102350109,,
94,11,0,White,transformed,0,2.538006591,0.102723466,,
95,11,0,White,transformed,0,2.546708235,0.103091233,,
40,12,0,White,transformed,0,2.290470229,0.09132112,,
41,12,0,White,transformed,0,2.291354087,0.091356017,,
42,12,0,White,transformed,0,2.29225347,0.091390969,,
43,12,0,White,transformed,0,2.293176278,0.091426012,,
44,12,0,White,transformed,0,2.29413041,0.091461181,,
45,12,0,White,transformed,0,2.295123766,0.091496511,,
46,12,0,White,transformed,0,2.296164246,0.091532038,,
47,12,0,White,transformed,0,2.297259751,0.091567797,,
48,12,0,White,transformed,0,2.298418218,0.091603823,,
49,12,0,White,transformed,0,2.29966762,0.091640183,,
50,12,0,White,transformed,0,2.301088489,0.091677026,,
51,12,0,White,transformed,0,2.302769876,0.091714514,,
52,12,0,White,transformed,0,2.304800832,0.09175281,,
53,12,0,White,transformed,0,2.307270407,0.091792076,,
54,12,0,White,transformed,0,2.310267653,0.091832475,,
55,12,0,White,transformed,0,2.31388162,0.09187417,,
56,12,0,White,transformed,0,2.318200505,0.091917324,,
57,12,0,White,transformed,0,2.323238121,0.091962291,,
