"NACCAGE","EDUC","SEX","RACE","mean.adj","sd.adj"
21,10,0,"White",19.9110165944926,0.89315952318791
22,10,0,"White",19.7924088766067,0.933819549924378
23,10,0,"White",19.6744634519951,0.974694742919772
24,10,0,"White",19.5572072993209,1.01600026843302
25,10,0,"White",19.4406667174391,1.05795129272305
26,10,0,"White",19.3248673253963,1.10076298204879
27,10,0,"White",19.2098340624311,1.14465050266916
28,10,0,"White",19.0955911879739,1.18982902084309
29,10,0,"White",18.9821622816468,1.23651370282951
30,10,0,"White",18.8695702432637,1.28491948353107
31,10,0,"White",18.7578372928305,1.33503086700377
32,10,0,"White",18.6469849705447,1.38616952158508
33,10,0,"White",18.5370341367956,1.43753866120132
34,10,0,"White",18.4280049721646,1.48834149977882
35,10,0,"White",18.3199169774245,1.5377812512439
36,10,0,"White",18.2127889735403,1.5850611295229
37,10,0,"White",18.1066391016684,1.62938434854214
38,10,0,"White",18.0014848231574,1.66995412222795
39,10,0,"White",17.8973429195474,1.70597519386391
40,10,0,"White",17.7942294925706,1.73690063611652
41,10,0,"White",17.6921599641507,1.76270426779481
42,10,0,"White",17.5911490764034,1.78342547889976
43,10,0,"White",17.4912108916361,1.79910365943234
44,10,0,"White",17.3923587923482,1.80977819939353
45,10,0,"White",17.2946054812308,1.8154884887843
46,10,0,"White",17.1979629811666,1.81627391760564
47,10,0,"White",17.1024426352304,1.81217387585851
48,10,0,"White",17.0080551066887,1.80322923096373
49,10,0,"White",16.9148103789998,1.78956949553228
50,10,0,"White",16.8227177558138,1.7714615822199
51,10,0,"White",16.7317858609727,1.74918422304103
52,10,0,"White",16.6420226385102,1.72301615001009
53,10,0,"White",16.5534353526518,1.69323609514152
54,10,0,"White",16.4660305878148,1.66012279044976
55,10,0,"White",16.3798142486085,1.62395496794922
56,10,0,"White",16.2947915598338,1.58501135965436
57,10,0,"White",16.2109670664834,1.54358145095053
58,10,0,"White",16.128344633742,1.50028085680141
59,10,0,"White",16.0469274469858,1.4561022322395
60,10,0,"White",15.9667180117833,1.41205923497496
61,10,0,"White",15.8877181538942,1.36916552271793
62,10,0,"White",15.8099290192705,1.32843475317855
63,10,0,"White",15.733198619935,1.29088058406697
64,10,0,"White",15.6555448386527,1.25751667309335
65,10,0,"White",15.5714784336022,1.22935667796782
66,10,0,"White",15.471850584255,1.20737083717493
67,10,0,"White",15.3438528913751,1.19174992726112
68,10,0,"White",15.1720546841675,1.18201051103764
69,10,0,"White",14.9498133989084,1.1776469206722
70,10,0,"White",14.6906849575757,1.17815348833252
71,10,0,"White",14.4278707463842,1.18302454618633
72,10,0,"White",14.1967240010457,1.19175442640134
73,10,0,"White",14.0172561920289,1.20383746114528
