"NACCAGE","EDUC","SEX","RACE","sdpred","sd","EDUCCATsomecollege","EDUCCAThigherthancollege","SEX:NACCAGE","EDUCCATsomecollege:NACCAGE","EDUCCAThigherthancollege:NACCAGE","mean.adj","sd.adj"
40,10,0,0,15.0408368537426,14.8458964098694,0,0,0,0,0,123.442302583337,15.0408368537426
41,10,0,0,15.1832217972575,14.7064745295789,0,0,0,0,0,123.301367757562,15.1832217972575
42,10,0,0,15.3254085701517,14.5903959850718,0,0,0,0,0,123.148446161725,15.3254085701517
43,10,0,0,15.4672701083172,14.1484858802971,0,0,0,0,0,122.980643604013,15.4672701083172
44,10,0,0,15.6086793476463,14.6486308948898,0,0,0,0,0,122.795065892612,15.6086793476463
45,10,0,0,15.7495092240313,14.3993473291931,0,0,0,0,0,122.588818835709,15.7495092240313
46,10,0,0,15.8896326733644,14.8664692132804,0,0,0,0,0,122.359008241491,15.8896326733644
47,10,0,0,16.0289226315379,16.2534829242851,0,0,0,0,0,122.102739918145,16.0289226315379
48,10,0,0,16.1672520812322,16.6086189247047,0,0,0,0,0,121.817126294187,16.1672520812322
49,10,0,0,16.3045177734869,16.5786892158232,0,0,0,0,0,121.502642925746,16.3045177734869
50,10,0,0,16.4406788278908,16.5803773607615,0,0,0,0,0,121.168590268766,16.4406788278908
51,10,0,0,16.5757044702645,17.5613420830946,0,0,0,0,0,120.825698770459,16.5757044702645
52,10,0,0,16.7095639264283,17.0985697142496,0,0,0,0,0,120.484698878038,16.7095639264283
53,10,0,0,16.8422264222026,17.2727124072878,0,0,0,0,0,120.156321038714,16.8422264222026
54,10,0,0,16.9736611834077,17.2976689182719,0,0,0,0,0,119.851295699699,16.9736611834077
55,10,0,0,17.1038374358642,17.4335445931616,0,0,0,0,0,119.580353308207,17.1038374358642
56,10,0,0,17.2327249421087,17.4194042555548,0,0,0,0,0,119.354156574262,17.2327249421087
57,10,0,0,17.3603402260979,17.4423436982991,0,0,0,0,0,119.17746660546,17.3603402260979
58,10,0,0,17.4867821977621,17.3610836305767,0,0,0,0,0,119.044646851174,17.4867821977621
59,10,0,0,17.6121581532257,17.5427409888897,0,0,0,0,0,118.949002367226,17.6121581532257
60,10,0,0,17.7365753886133,17.4236570717676,0,0,0,0,0,118.88383820944,17.7365753886133
61,10,0,0,17.8601412000493,17.747671468144,0,0,0,0,0,118.842459433638,17.8601412000493
62,10,0,0,17.9829628836584,17.8245673046858,0,0,0,0,0,118.818171095644,17.9829628836584
63,10,0,0,18.105147735565,18.2716029351972,0,0,0,0,0,118.80427825128,18.105147735565
64,10,0,0,18.2268058293131,18.3062768937603,0,0,0,0,0,118.794068181452,18.2268058293131
65,10,0,0,18.3481389961573,18.4780977097957,0,0,0,0,0,118.780240936414,18.3481389961573
66,10,0,0,18.4694596497948,18.534534595552,0,0,0,0,0,118.754788861322,18.4694596497948
67,10,0,0,18.5910867874355,18.7347046364175,0,0,0,0,0,118.709662168192,18.5910867874355
68,10,0,0,18.7133394062895,18.8832392579597,0,0,0,0,0,118.63681106904,18.7133394062895
69,10,0,0,18.8365365035667,18.9178585149584,0,0,0,0,0,118.528185775882,18.8365365035667
70,10,0,0,18.9609970764773,19.011105080457,0,0,0,0,0,118.375736500733,18.9609970764773
71,10,0,0,19.0870401222311,19.1639208584865,0,0,0,0,0,118.171413455608,19.0870401222311
72,10,0,0,19.2149877623876,19.1352214258965,0,0,0,0,0,117.907874505726,19.2149877623876
73,10,0,0,19.3452145978128,19.2936305901227,0,0,0,0,0,117.589663878674,19.3452145978128
74,10,0,0,19.4781387749925,19.3448512242556,0,0,0,0,0,117.23118871854,19.4781387749925
75,10,0,0,19.6141797584976,19.4853154240321,0,0,0,0,0,116.847154710603,19.6141797584976
76,10,0,0,19.7537570128988,19.6552857138096,0,0,0,0,0,116.452267540146,19.7537570128988
77,10,0,0,19.897290002767,19.7678810625474,0,0,0,0,0,116.061232892448,19.897290002767
78,10,0,0,20.0451981926728,19.8743717001582,0,0,0,0,0,115.688756452791,20.0451981926728
79,10,0,0,20.1979010471872,19.9108111689557,0,0,0,0,0,115.349543906456,20.1979010471872
80,10,0,0,20.3557699799675,20.1669560594387,0,0,0,0,0,115.057084671305,20.3557699799675
81,10,0,0,20.5187043524989,20.2823343212933,0,0,0,0,0,114.812919554082,20.5187043524989
82,10,0,0,20.6863355943736,20.6825408415541,0,0,0,0,0,114.611807454407,20.6863355943736
83,10,0,0,20.8582920599256,21.1438952449116,0,0,0,0,0,114.448429430784,20.8582920599256
84,10,0,0,21.0342021034888,21.077731571107,0,0,0,0,0,114.317466541718,21.0342021034888
85,10,0,0,21.213694079397,21.239342958058,0,0,0,0,0,114.213599845714,21.213694079397
86,10,0,0,21.3963963419843,21.5098780421646,0,0,0,0,0,114.131510401275,21.3963963419843
87,10,0,0,21.5819372455845,21.5532454555998,0,0,0,0,0,114.065879266907,21.5819372455845
