"NACCAGE","EDUC","SEX","RACE","mean.adj","sd.adj"
21,10,0,"White",15.1387724466596,0.523359864207221
22,10,0,"White",15.0306351167824,0.761972157534665
23,10,0,"White",14.9226263471766,0.996450144434502
24,10,0,"White",14.8150779898111,1.22265951847913
25,10,0,"White",14.7083004018925,1.43646597324094
26,10,0,"White",14.6025824458645,1.63373520229233
27,10,0,"White",14.4981914894084,1.8103328992057
28,10,0,"White",14.3953734054427,1.96212475755343
29,10,0,"White",14.2943525721233,2.08497647090793
30,10,0,"White",14.1953318728436,2.17475599299102
31,10,0,"White",14.0984926962342,2.2295823863566
32,10,0,"White",14.0039949361633,2.25405004167499
33,10,0,"White",13.9119769917361,2.25391054612454
34,10,0,"White",13.8225557672957,2.23491548688362
35,10,0,"White",13.735826672422,2.20281645113059
36,10,0,"White",13.6518636219327,2.1633650260438
37,10,0,"White",13.5707190358827,2.12231279880164
38,10,0,"White",13.4924238395642,2.08541135658245
39,10,0,"White",13.416987463507,2.05839852288746
40,10,0,"White",13.3443978434781,2.04477724414361
41,10,0,"White",13.2746214204819,2.04336393471434
42,10,0,"White",13.2076031407601,2.05238489130609
43,10,0,"White",13.143266455792,2.07006641062529
44,10,0,"White",13.0815133222941,2.09463478937837
45,10,0,"White",13.0222242022202,2.12431632427175
46,10,0,"White",12.9652580627617,2.15733731201186
47,10,0,"White",12.9104523763472,2.19192404930514
48,10,0,"White",12.8576231206427,2.2263138231693
49,10,0,"White",12.8065647785517,2.2594033392992
50,10,0,"White",12.7570503382148,2.29111140233933
51,10,0,"White",12.7088312930102,2.32144473942444
52,10,0,"White",12.6616376415535,2.3504100776893
53,10,0,"White",12.6151778876975,2.37801414426865
54,10,0,"White",12.5691390405325,2.40426366629725
55,10,0,"White",12.523186614386,2.42916537090987
56,10,0,"White",12.4769646288232,2.45272598524127
57,10,0,"White",12.4300956086464,2.47495280439474
58,10,0,"White",12.3821805838954,2.49587034889455
59,10,0,"White",12.3327990898471,2.515523053662
60,10,0,"White",12.2815091670163,2.53395646293193
61,10,0,"White",12.2278473611547,2.55121612093922
62,10,0,"White",12.1713287232515,2.5673475719187
63,10,0,"White",12.1113580709466,2.58239636010525
64,10,0,"White",12.0462538640751,2.59640802973371
65,10,0,"White",11.9722720802124,2.60942812503894
66,10,0,"White",11.8835174760874,2.62151409754784
67,10,0,"White",11.7719435875823,2.63293715849422
68,10,0,"White",11.6277214159467,2.64415341554284
69,10,0,"White",11.4432949761507,2.655625072892
70,10,0,"White",11.2174368452385,2.66781433473998
71,10,0,"White",10.9554659642672,2.68118340528507
72,10,0,"White",10.6675879112858,2.69619448872558
73,10,0,"White",10.3672351743138,2.71330978925979
74,10,0,"White",10.0705185307409,2.73299151108599
75,10,0,"White",9.79185194774643,2.75565481029909
76,10,0,"White",9.53957748271864,2.78116790879205
77,10,0,"White",9.3155675469291,2.80904616768239
78,10,0,"White",9.11555180885102,2.8387990670747
79,10,0,"White",8.93271313066,2.86993608707358
80,10,0,"White",8.7612835047349,2.90196670778363
81,10,0,"White",8.59687095697605,2.93440040930943
82,10,0,"White",8.43645954680524,2.9667466717556
83,10,0,"White",8.2783615592251,2.99851497522671
84,10,0,"White",8.12169161747162,3.02936222137844
