"NACCAGE","EDUC","SEX","RACE","sdpred","sd","EDUCCATsomecollege","EDUCCAThigherthancollege","SEX:NACCAGE","EDUCCATsomecollege:NACCAGE","EDUCCAThigherthancollege:NACCAGE","mean.adj","sd.adj"
40,10,0,0,2.14665895719347,2.5512982011844,0,0,0,0,0,8.29600766851027,2.14665895719347
41,10,0,0,2.14822935649391,2.50245883305887,0,0,0,0,0,8.2941308939306,2.14822935649391
42,10,0,0,2.14980860399272,2.4229134842202,0,0,0,0,0,8.29220400259663,2.14980860399272
43,10,0,0,2.15140171623627,2.44759842023381,0,0,0,0,0,8.29020056491412,2.15140171623627
44,10,0,0,2.15301370977092,2.36077666599947,0,0,0,0,0,8.28809415128878,2.15301370977092
45,10,0,0,2.15464960114305,2.32503833557731,0,0,0,0,0,8.28585833212634,2.15464960114305
46,10,0,0,2.15631440689902,2.15936629355589,0,0,0,0,0,8.28346667783254,2.15631440689902
47,10,0,0,2.1580131435852,2.22026298749994,0,0,0,0,0,8.2808927588131,2.1580131435852
48,10,0,0,2.15975083097082,2.12951268805299,0,0,0,0,0,8.27810997906938,2.15975083097082
49,10,0,0,2.16153412603854,2.09984661363091,0,0,0,0,0,8.27500720918388,2.16153412603854
50,10,0,0,2.16337398184489,2.16071220608098,0,0,0,0,0,8.27125150271675,2.16337398184489
51,10,0,0,2.16528204758436,2.13084876337825,0,0,0,0,0,8.26647396988469,2.16528204758436
52,10,0,0,2.16726997245148,2.1433163309267,0,0,0,0,0,8.26030572090439,2.16726997245148
53,10,0,0,2.16934940564075,2.12371085452136,0,0,0,0,0,8.25237786599254,2.16934940564075
54,10,0,0,2.17153199634668,2.10600964672668,0,0,0,0,0,8.24232151536584,2.17153199634668
55,10,0,0,2.17382939376379,2.14190922988873,0,0,0,0,0,8.22976777924099,2.17382939376379
56,10,0,0,2.17625324261668,2.12925049768678,0,0,0,0,0,8.21434932379088,2.17625324261668
57,10,0,0,2.17881479818976,2.16532524104055,0,0,0,0,0,8.19583437787163,2.17881479818976
58,10,0,0,2.18152462963749,2.16548585330182,0,0,0,0,0,8.17423000961488,2.18152462963749
59,10,0,0,2.18439323627212,2.17185509600428,0,0,0,0,0,8.14956759896775,2.18439323627212
60,10,0,0,2.18743111740589,2.19273872257046,0,0,0,0,0,8.12187852587738,2.18743111740589
61,10,0,0,2.19064877235105,2.1765537763653,0,0,0,0,0,8.0911941702909,2.19064877235105
62,10,0,0,2.19405670041984,2.16441423445719,0,0,0,0,0,8.05754591215545,2.19405670041984
63,10,0,0,2.1976654009245,2.19295504357603,0,0,0,0,0,8.02096513141815,2.1976654009245
64,10,0,0,2.2014850252714,2.20389417410365,0,0,0,0,0,7.98149561904702,2.2014850252714
