NACCAGE,EDUC,SEX,RACE,model,RACE_model,mean.adj,sd.adj,mean.adj.ori,sd.adj.ori,,,,,
40,10,0,White,transformed,0,1.887796245,0.093951595,23.78098136,5.638219633,,,,,
41,10,0,White,transformed,0,1.888101292,0.093951595,23.78526857,5.740724877,,,,,
42,10,0,White,transformed,0,1.888426664,0.093951595,23.79217775,5.843392022,,,,,
43,10,0,White,transformed,0,1.888784941,0.093951595,23.80415194,5.946305849,,,,,
44,10,0,White,transformed,0,1.8891887,0.093951595,23.82363418,6.049551137,,,,,
45,10,0,White,transformed,0,1.88965052,0.093951595,23.8530675,6.153212669,,-0.198139483,-0.626187929,,0.198139483
46,10,0,White,transformed,0,1.89018298,0.093951595,23.89489494,6.257375225,,,,,
47,10,0,White,transformed,0,1.890798658,0.093951595,23.95155954,6.362123584,,,,,
48,10,0,White,transformed,0,1.89151017,0.093951595,24.02550381,6.467542535,,,,,
49,10,0,White,transformed,0,1.892349577,0.093951595,24.11889625,6.573719926,,,,,
50,10,0,White,transformed,0,1.893399958,0.093951595,24.23318645,6.680751641,,,,,
51,10,0,White,transformed,0,1.89475266,0.093951595,24.36970748,6.788734865,,,,,
52,10,0,White,transformed,0,1.896499029,0.093951595,24.52979244,6.897766784,,,,,
53,10,0,White,transformed,0,1.898730412,0.093951595,24.71477439,7.007944584,,,,,
54,10,0,White,transformed,0,1.901538156,0.093951595,24.92598643,7.11936545,,,,,
55,10,0,White,transformed,0,1.905013608,0.093951595,25.16476164,7.232126567,,,,,
56,10,0,White,transformed,0,1.909247249,0.093951595,25.4324256,7.346324963,,,,,
57,10,0,White,transformed,0,1.91425427,0.093951595,25.72965157,7.462043777,,,,,
58,10,0,White,transformed,0,1.919917206,0.093951595,26.05596344,7.579341682,,,,,
59,10,0,White,transformed,0,1.926105086,0.093951595,26.41076813,7.698274862,,,,,
60,10,0,White,transformed,0,1.932686944,0.093951595,26.79347254,7.8188995,,,,,
61,10,0,White,transformed,0,1.939531811,0.093951595,27.20348359,7.941271779,,,,,
62,10,0,White,transformed,0,1.946508719,0.093951595,27.64020818,8.065447882,,,,,
63,10,0,White,transformed,0,1.953486698,0.093951595,28.10305323,8.191483993,,,,,
64,10,0,White,transformed,0,1.96033593,0.093951595,28.59127468,8.319438713,,,,,
65,10,0,White,transformed,0,1.966964542,0.093951595,29.09914138,8.449450534,,,,,
66,10,0,White,transformed,0,1.973326392,0.093951595,29.61491191,8.581754226,,,,,
67,10,0,White,transformed,0,1.979378062,0.093951595,30.12648702,8.716590295,,,,,
68,10,0,White,transformed,0,1.985076135,0.093951595,30.62176747,8.854199244,,,,,
69,10,0,White,transformed,0,1.990377192,0.093951595,31.08865402,8.994821576,,,,,
70,10,0,White,transformed,0,1.995237814,0.093951595,31.51504742,9.138697795,,,,,
71,10,0,White,transformed,0,1.999614584,0.093951595,31.88884845,9.286068405,,,,,
72,10,0,White,transformed,0,2.003470462,0.093951595,32.19916333,9.437192148,,,,,
73,10,0,White,transformed,0,2.006875553,0.093951595,32.45534659,9.592634115,,,,,
74,10,0,White,transformed,0,2.009988864,0.093951595,32.68355413,9.753213597,,,,,
75,10,0,White,transformed,0,2.012972096,0.093951595,32.91045041,9.919757576,,,,,
76,10,0,White,transformed,0,2.015986949,0.093951595,33.1626999,10.09309304,,,,,
77,10,0,White,transformed,0,2.019195122,0.093951595,33.46696706,10.27404697,,,,,
78,10,0,White,transformed,0,2.022758314,0.093951595,33.84991634,10.46344635,,,,,
79,10,0,White,transformed,0,2.026838227,0.093951595,34.33821221,10.66211816,,,,,
80,10,0,White,transformed,0,2.031577138,0.093951595,34.95471902,10.87082924,,,,,
81,10,0,White,transformed,0,2.036926538,0.093951595,35.68496887,11.08975543,,,,,
